time,sensor,temperature
1:22:40 PM,T_SURF2HS_0,51.9
1:22:40 PM,T_SURF1HS_0,51.7
1:22:54 PM,T_SURF7HS_3,38.1
1:22:54 PM,T_SURF6HS_3,38.3
1:22:54 PM,T_SURF5HS_3,39
1:22:54 PM,T_SURF4HS_3,39
1:22:54 PM,T_SURF3HS_3,39.5
1:22:54 PM,T_SURF2HS_3,38.1
1:22:54 PM,T_SURF1HS_3,33.3
1:22:54 PM,T_SURF7HS_2,38.3
1:22:54 PM,T_SURF6HS_2,38.1
1:22:54 PM,T_SURF5HS_2,37.9
1:22:54 PM,T_SURF4HS_2,38.6
1:22:54 PM,T_SURF3HS_2,39.8
1:22:54 PM,T_SURF2HS_2,38.6
1:22:54 PM,T_SURF1HS_2,39.3
1:22:54 PM,T_SURF6HS_1,52.1
1:22:54 PM,T_SURF5HS_1,53.1
1:22:54 PM,T_SURF4HS_1,53.1
1:22:54 PM,T_SURF3HS_1,54
1:22:54 PM,T_SURF2HS_1,48.1
1:22:54 PM,T_SURF1HS_1,52.9
1:22:54 PM,T_SURF6HS_0,53.1
1:22:54 PM,T_SURF5HS_0,53.1
1:22:54 PM,T_SURF4HS_0,53.3
1:22:54 PM,T_SURF3HS_0,52.9
1:22:54 PM,T_SURF2HS_0,51.7
1:22:54 PM,T_SURF1HS_0,51.9
1:23:07 PM,T_SURF7HS_3,38.8
1:23:07 PM,T_SURF6HS_3,38.8
1:23:07 PM,T_SURF5HS_3,39.3
1:23:07 PM,T_SURF4HS_3,39.3
1:23:07 PM,T_SURF3HS_3,39.3
1:23:07 PM,T_SURF2HS_3,38.1
1:23:07 PM,T_SURF1HS_3,33.6
1:23:07 PM,T_SURF7HS_2,38.6
1:23:07 PM,T_SURF6HS_2,38.8
1:23:07 PM,T_SURF5HS_2,38.1
1:23:07 PM,T_SURF4HS_2,38.6
1:23:07 PM,T_SURF3HS_2,40.2
1:23:07 PM,T_SURF2HS_2,38.8
1:23:07 PM,T_SURF1HS_2,39.5
1:23:07 PM,T_SURF6HS_1,52.1
1:23:07 PM,T_SURF5HS_1,53.1
1:23:07 PM,T_SURF4HS_1,53.3
1:23:07 PM,T_SURF3HS_1,54.5
1:23:07 PM,T_SURF2HS_1,48.6
1:23:07 PM,T_SURF1HS_1,52.9
1:23:07 PM,T_SURF6HS_0,53.1
1:23:07 PM,T_SURF5HS_0,53.3
1:23:07 PM,T_SURF4HS_0,53.6
1:23:07 PM,T_SURF3HS_0,52.9
1:23:07 PM,T_SURF2HS_0,51.9
1:23:07 PM,T_SURF1HS_0,51.9
1:23:20 PM,T_SURF7HS_3,38.8
1:23:20 PM,T_SURF6HS_3,38.6
1:23:20 PM,T_SURF5HS_3,39.3
1:23:20 PM,T_SURF4HS_3,39.5
1:23:20 PM,T_SURF3HS_3,39.8
1:23:20 PM,T_SURF2HS_3,38.3
1:23:20 PM,T_SURF1HS_3,33.8
1:23:20 PM,T_SURF7HS_2,38.6
1:23:20 PM,T_SURF6HS_2,38.3
1:23:20 PM,T_SURF5HS_2,38.3
1:23:20 PM,T_SURF4HS_2,38.6
1:23:20 PM,T_SURF3HS_2,40.2
1:23:20 PM,T_SURF2HS_2,39.5
1:23:20 PM,T_SURF1HS_2,40
1:23:20 PM,T_SURF6HS_1,52.4
1:23:20 PM,T_SURF5HS_1,53.8
1:23:20 PM,T_SURF4HS_1,53.1
1:23:20 PM,T_SURF3HS_1,54.8
1:23:20 PM,T_SURF2HS_1,48.3
1:23:20 PM,T_SURF1HS_1,53.1
1:23:20 PM,T_SURF6HS_0,53.3
1:23:20 PM,T_SURF5HS_0,53.3
1:23:20 PM,T_SURF4HS_0,53.6
1:23:20 PM,T_SURF3HS_0,52.9
1:23:20 PM,T_SURF2HS_0,52.1
1:23:20 PM,T_SURF1HS_0,52.1
1:23:34 PM,T_SURF7HS_3,39
1:23:34 PM,T_SURF6HS_3,38.8
1:23:34 PM,T_SURF5HS_3,39.8
1:23:34 PM,T_SURF4HS_3,39.8
1:23:34 PM,T_SURF3HS_3,40
1:23:34 PM,T_SURF2HS_3,38.6
1:23:34 PM,T_SURF1HS_3,33.6
1:23:34 PM,T_SURF7HS_2,38.8
1:23:34 PM,T_SURF6HS_2,38.8
1:23:34 PM,T_SURF5HS_2,38.6
1:23:34 PM,T_SURF4HS_2,39.3
1:23:34 PM,T_SURF3HS_2,40.5
1:23:34 PM,T_SURF2HS_2,39.5
1:23:34 PM,T_SURF1HS_2,40
1:23:34 PM,T_SURF6HS_1,52.4
1:23:34 PM,T_SURF5HS_1,53.3
1:23:34 PM,T_SURF4HS_1,53.8
1:23:34 PM,T_SURF3HS_1,54.8
1:23:34 PM,T_SURF2HS_1,48.8
1:23:34 PM,T_SURF1HS_1,52.9
1:23:34 PM,T_SURF6HS_0,53.1
1:23:34 PM,T_SURF5HS_0,53.6
1:23:34 PM,T_SURF4HS_0,53.8
1:23:34 PM,T_SURF3HS_0,52.9
1:23:34 PM,T_SURF2HS_0,51.7
1:23:34 PM,T_SURF1HS_0,51.9
1:23:47 PM,T_SURF7HS_3,39.3
1:23:47 PM,T_SURF6HS_3,39
1:23:47 PM,T_SURF5HS_3,39.8
1:23:47 PM,T_SURF4HS_3,39.8
1:23:47 PM,T_SURF3HS_3,40
1:23:47 PM,T_SURF2HS_3,38.6
1:23:47 PM,T_SURF1HS_3,33.6
1:23:47 PM,T_SURF7HS_2,38.8
1:23:47 PM,T_SURF6HS_2,38.8
1:23:47 PM,T_SURF5HS_2,38.8
1:23:47 PM,T_SURF4HS_2,39
1:23:47 PM,T_SURF3HS_2,40.7
1:23:47 PM,T_SURF2HS_2,39.8
1:23:47 PM,T_SURF1HS_2,40
1:23:47 PM,T_SURF6HS_1,52.6
1:23:47 PM,T_SURF5HS_1,53.6
1:23:47 PM,T_SURF4HS_1,53.6
1:23:47 PM,T_SURF3HS_1,55
1:23:47 PM,T_SURF2HS_1,48.8
1:23:47 PM,T_SURF1HS_1,53.1
1:23:47 PM,T_SURF6HS_0,53.6
1:23:47 PM,T_SURF5HS_0,53.3
1:23:47 PM,T_SURF4HS_0,53.8
1:23:47 PM,T_SURF3HS_0,52.9
1:23:47 PM,T_SURF2HS_0,51.9
1:23:47 PM,T_SURF1HS_0,52.1
1:24:00 PM,T_SURF7HS_3,39.3
1:24:00 PM,T_SURF6HS_3,39
1:24:00 PM,T_SURF5HS_3,39.8
1:24:00 PM,T_SURF4HS_3,40.2
1:24:00 PM,T_SURF3HS_3,40
1:24:00 PM,T_SURF2HS_3,39
1:24:00 PM,T_SURF1HS_3,33.8
1:24:00 PM,T_SURF7HS_2,39
1:24:00 PM,T_SURF6HS_2,39
1:24:00 PM,T_SURF5HS_2,38.8
1:24:00 PM,T_SURF4HS_2,39.5
1:24:00 PM,T_SURF3HS_2,41
