time,sensor,temperature
1:34:55 PM,T_TURFIO_0,62
1:34:55 PM,T_RPU_TURF,55.1
1:34:55 PM,T_APU_TURF,54.7
1:35:05 PM,T_TURFIO_3,53
1:35:05 PM,T_TURFIO_2,55.4
1:35:05 PM,T_TURFIO_1,64.6
1:35:05 PM,T_TURFIO_0,62.5
1:35:05 PM,T_RPU_TURF,54.4
1:35:05 PM,T_APU_TURF,54.8
1:35:16 PM,T_TURFIO_3,53.5
1:35:16 PM,T_TURFIO_2,55.7
1:35:16 PM,T_TURFIO_1,64.4
1:35:16 PM,T_TURFIO_0,63.1
1:35:16 PM,T_RPU_TURF,54.8
1:35:16 PM,T_APU_TURF,54.6
1:35:26 PM,T_TURFIO_3,53.3
1:35:26 PM,T_TURFIO_2,56.5
1:35:26 PM,T_TURFIO_1,64.5
1:35:26 PM,T_TURFIO_0,62.1
1:35:26 PM,T_RPU_TURF,54.1
1:35:26 PM,T_APU_TURF,55.3
1:35:36 PM,T_TURFIO_3,53.8
1:35:36 PM,T_TURFIO_2,55.6
1:35:36 PM,T_TURFIO_1,64.8
1:35:36 PM,T_TURFIO_0,63.2
1:35:36 PM,T_RPU_TURF,53.8
1:35:36 PM,T_APU_TURF,54.8
1:35:47 PM,T_TURFIO_3,53.5
1:35:47 PM,T_TURFIO_2,55.6
1:35:47 PM,T_TURFIO_1,64.8
1:35:47 PM,T_TURFIO_0,62.8
1:35:47 PM,T_RPU_TURF,55.1
1:35:47 PM,T_APU_TURF,55
1:35:57 PM,T_TURFIO_3,54.1
1:35:57 PM,T_TURFIO_2,56
1:35:57 PM,T_TURFIO_1,65.2
1:35:57 PM,T_TURFIO_0,62.1
1:35:57 PM,T_RPU_TURF,54.9
1:35:57 PM,T_APU_TURF,55.2
1:36:07 PM,T_TURFIO_0,62.9
1:36:07 PM,T_RPU_TURF,54.7
1:36:07 PM,T_APU_TURF,54.5
1:36:08 PM,T_TURFIO_3,54
1:36:08 PM,T_TURFIO_2,55.4
1:36:08 PM,T_TURFIO_1,64.8
1:36:18 PM,T_TURFIO_3,54
1:36:18 PM,T_TURFIO_2,55.7
1:36:18 PM,T_TURFIO_1,64.6
1:36:18 PM,T_TURFIO_0,62.8
1:36:18 PM,T_RPU_TURF,55.3
1:36:18 PM,T_APU_TURF,54.7
1:36:28 PM,T_TURFIO_3,54.1
1:36:28 PM,T_TURFIO_2,55.4
1:36:28 PM,T_TURFIO_1,63.2
1:36:28 PM,T_TURFIO_0,62.5
1:36:28 PM,T_RPU_TURF,54.6
1:36:28 PM,T_APU_TURF,54.4
1:36:39 PM,T_TURFIO_3,53.8
1:36:39 PM,T_TURFIO_2,56
1:36:39 PM,T_TURFIO_1,64.6
1:36:39 PM,T_TURFIO_0,63.2
1:36:39 PM,T_RPU_TURF,55.7
1:36:39 PM,T_APU_TURF,55.5
1:36:49 PM,T_TURFIO_3,55
1:36:49 PM,T_TURFIO_2,55.6
1:36:49 PM,T_TURFIO_1,64.2
1:36:49 PM,T_TURFIO_0,63.6
1:36:49 PM,T_RPU_TURF,55.4
1:36:49 PM,T_APU_TURF,56.3
1:36:59 PM,T_TURFIO_3,53.9
1:36:59 PM,T_TURFIO_2,56.6
1:36:59 PM,T_TURFIO_1,64.8
1:36:59 PM,T_TURFIO_0,63.1
1:36:59 PM,T_RPU_TURF,54.8
1:36:59 PM,T_APU_TURF,53.5
1:37:10 PM,T_TURFIO_3,54.4
1:37:10 PM,T_TURFIO_2,55.7
1:37:10 PM,T_TURFIO_1,65
